Mot,Occurrences,Sources
"antis",7,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"ago",7,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"mantenha",7,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf"
"natal",7,"Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"subi",7,"Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"tenpu",7,"Pa Nu Papia Kriolu 3_Partie10.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"merka",7,"Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf"
"sima",7,"Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"suma",7,"Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"txora",7,"Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie6.pdf; Pa Nu Papia Kriolu 3_Partie7.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"eat",6,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie5.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
"ail",6,"Pa Nu Papia Kriolu 3_Partie1.pdf; Pa Nu Papia Kriolu 3_Partie2.pdf; Pa Nu Papia Kriolu 3_Partie3.pdf; Pa Nu Papia Kriolu 3_Partie4.pdf; Pa Nu Papia Kriolu 3_Partie8.pdf; Pa Nu Papia Kriolu 3_Partie9.pdf"
