mot_capverdien,traduction,categorie
bakan,bacano / porreiro,Adjectif
bakandesa,parvoíce / estupidez,Nom
bala-mitra,dinamite,Nom
balansu,balanço,Nom
balcon,balcão,Nom
baldia,baldear,Verbe
baleia,baleia,Nom
balenti,valente,Adjectif
baleta,valeta,Nom
balon,balão,Nom
bambu,bambu,Nom
banana,banana,Nom
banana-berdi,banana verde,Nom
banda,banda / lado,Nom
bandera,bandeira,Nom
bandida,bandida,Nom
bandidu,bandido,Nom
bandu,bando,Nom
banha,banha,Nom
banhera,banheira,Nom
banhu,banho,Nom
banka,banca,Nom
banku,banco,Nom
baon,baunilha,Nom
bar,bar,Nom
bara,vara,Nom
baradjadu,baralhado / confuso,Adjectif
baradju,baralho,Nom
baraka,barraca,Nom
baranda,varanda,Nom
barata,barata,Nom
baratu,barato,Adjectif
barba,barba,Nom
barberu,barbeiro,Nom
bardamerda,vai à merda (interjeição),Expression
bariga,barriga,Nom
baril,barril,Nom
barodja,assar ligeiramente,Verbe
baroti,viga / barrote,Nom
barragem,barragem,Nom
barrer,varrer,Verbe
barulhentu,barulhento,Adjectif
barulhu,barulho,Nom
bas,baixo,Adjectif
basa,vazar / bazar,Verbe
basia,bacia,Nom
basta,bastar,Verbe
bastanti,bastante,Adjectif
baston,bastão,Nom
bata,bata,Nom
batalha,batalha,Nom
bataria,bateria,Nom
batata,batata,Nom
batata-dosi,batata doce,Nom
batata-inglesa,batata inglesa,Nom
batedera,batedeira,Nom
batimentu,batimento / ritmo,Nom
batiza,batizar,Verbe
batizmu,batismo,Nom
batota,batota / trapaça,Nom
batoteru,batoteiro,Nom
batuku,batuque,Nom
baul,baú,Nom
baxu,baixo,Adjectif
baxu,debaixo / sob,Préposition
bazadu,cheio / muito,Adjectif
bazi,vazio,Adjectif
bazof,bazofo / vaidoso,Adjectif
bazofaria,bazófia / vaidade,Nom
bebe,beber,Verbe
bebi,bebida,Nom
bebida,bebida,Nom
bedja,velha,Adjectif
bedjisa,velhice,Nom
bedju,velho,Adjectif
behki,fermento em pó,Nom
beiju,beijo,Nom
bela,vela,Nom
beleza,beleza,Nom
belu,belo,Adjectif
bem,bem,Adverbe
bem-fetor,benfeitor,Nom
bem-vindu,bem-vindo,Adjectif
benda,venda,Nom
bendito,bendito,Adjectif
beneru,venerar,Verbe
benfitoria,benfeitoria,Nom
bengala,bengala,Nom
ben-u,bem-haja,Expression
bera,beira / margem,Nom
bera-mar,beira-mar,Nom
bersu,berço,Nom
bes,vez,Nom
bespra,véspera,Nom
besta,besta / burro,Nom
besti,vestir,Verbe
bestidu,vestido,Nom
beton,betão,Nom
bexiga,bexiga,Nom
biata,beata (cigarro),Nom
biblia,bíblia,Nom
bida,vida,Nom
bidon,bidão,Nom
bife,bife,Nom
bigodi,bigode,Nom
bika,bica / torneira,Nom
bikini,biquíni,Nom
biku,bico,Nom
bilheti,bilhete,Nom
bintem,vintém,Nom
biografia,biografia,Nom
bira,virar / tornar,Verbe
biri-biri,beribéri,Nom
birra,birra,Nom
bisavu,bisavô,Nom
biskaiti,biscate,Nom
biskleta,bicicleta,Nom
bisnetu,bisneto,Nom
bispo,bispo,Nom
bistidu,vestido,Nom
bistim,vintém,Nom
bitxu,bicho,Nom
biuda,viúva,Nom
biudu,viúvo,Nom
bizinhasu,vizinhança,Nom
bizinhu,vizinho,Nom
bizivi,visível / linha de pesca,Nom
bloku,bloco,Nom
blusa,blusa,Nom
bo,bom,Adjectif
bo,tu / você,Pronom
bobo,bobo,Nom
boka,boca,Nom
boka-bedju,arma artesanal,Nom
bokadu,bocado,Nom
boka-largu,boca larga / tagarela,Nom
boka-mofinu,esquisito (com comida),Adjectif
bola,bola,Nom
bolaxa,bolacha,Nom
bolbu,bolbo,Nom
boletin,boletim,Nom
bolsa,bolsa,Nom
bolsu,bolso,Nom
bolta,volta,Nom
bolu,bolo,Nom
bom,bom,Adjectif
bomba,bomba,Nom
bombeiru,bombeiro,Nom
bondadi,bondade,Nom
bone,boné,Nom
boneka,boneca,Nom
bonita,bonita,Adjectif
bonitu,bonito,Adjectif
borbuleta,borboleta,Nom
borda,borda,Nom
bordadu,bordado,Nom
borisi,aborrecer,Verbe
borota,brotoeja / erupção cutânea,Nom
borra,borra,Nom
bota,botar / pôr,Verbe
botan,botão,Nom
boti,bote,Nom
boxer,boxer (calção),Nom
brabu,bravo / selvagem,Adjectif
brada,bradar,Verbe
braku,buraco,Nom
bramelu,vermelho,Adjectif
branka,branca,Adjectif
branku,branco,Adjectif
brasa,braça,Nom
brasileti,pulseira,Nom
brasu,braço,Nom
bravo,bravo,Adjectif
braza,brasa,Nom
brazil,Brasil,Nom
bregu,prego,Nom
breu,breu,Nom
brevi,breve,Adjectif
brida,rédea,Nom
briga,briga,Nom
briga,brigar,Verbe
